Data,Player 1,Player 2,Player 3,Player 4,Player 5
2023-08-01,53754,423,4061,15378,32982
2023-09-01,12070,1316,5345,19018,116078
2023-10-01,5189,1636,5630,18754,25615
2023-11-01,20723,1439,5999,12212,20213
2023-12-01,11297,1685,21379,15100,13163
2024-01-01,8939,1287,57346,16470,28281
2024-02-01,6081,1484,59048,18289,13057
2024-03-01,4727,1164,58505,19184,9608
2024-04-01,5018,1930,58684,15997,14871
2024-05-01,4750,2101,59511,17727,9902
2024-06-01,4712,2976,50023,16497,6847
2024-07-01,1404,2666,2595,13872,8222
