Data,Player 1,Player 2,Player 3,Player 4,Player 5
2023-08-01,15203,1842,6862,224008,45748
2023-09-01,14396,2804,6757,215637,44111
2023-10-01,12951,3574,5716,205491,46908
2023-11-01,10916,4023,6261,200233,44022
2023-12-01,10268,4735,6340,170401,39808
2024-01-01,7783,3952,5690,132197,38157
2024-02-01,7156,4993,5956,134646,35098
2024-03-01,8572,6142,6949,136519,32145
2024-04-01,7485,6634,5045,118938,29965
2024-05-01,7063,7175,3882,105243,30155
2024-06-01,8734,7423,4840,110000,30869
2024-07-01,7787,7574,4974,101514,28444
